"","year","state_code","less_than_high_school","high_school_graduate_ged_or_alternative_credential","some_college_associate_degree","bachelors_degree_or_higher"
"563",2016,38,54,0,0,0
"564",2016,39,0,61,252,1463
"565",2016,40,0,0,585,254
"566",2016,41,340,86,640,1382
"567",2016,42,3281,1962,1050,4611
"568",2016,44,152,102,736,462
"569",2016,45,121,842,557,1354
"570",2016,47,0,466,0,694
"571",2016,48,510,1338,3149,9795
"572",2016,49,594,161,1030,1834
"573",2016,50,0,0,0,0
"574",2016,51,0,868,967,3085
"575",2016,53,227,130,642,2345
"576",2016,54,0,0,0,395
"577",2016,55,0,471,57,406
"578",2016,56,0,36,0,75
"579",2017,1,0,266,181,761
"580",2017,2,136,0,0,73
"581",2017,4,118,250,575,1330
"582",2017,5,76,172,156,171
"583",2017,6,1981,6033,9634,23274
"584",2017,8,42,193,164,842
"585",2017,9,1546,5044,3737,2989
"586",2017,10,0,104,885,59
"587",2017,11,91,120,125,1125
"588",2017,12,6361,24483,23549,39387
"589",2017,13,160,4550,2398,4250
"590",2017,15,0,129,154,942
"591",2017,16,0,0,111,73
"592",2017,17,0,1305,1488,3560
"593",2017,18,0,463,104,945
"594",2017,19,0,0,0,1550
"595",2017,20,0,638,96,1213
"596",2017,21,45,527,467,549
"597",2017,22,0,601,589,348
"598",2017,23,0,315,0,780
"599",2017,24,565,521,920,4084
"600",2017,25,6912,33995,11137,12130
"601",2017,26,0,0,560,2999
"602",2017,27,0,421,304,2079
"603",2017,28,0,141,149,113
"604",2017,29,98,350,616,2592
"605",2017,30,0,0,0,244
"606",2017,31,134,0,0,143
"607",2017,32,389,332,827,1253
"608",2017,33,0,133,487,979
"609",2017,34,2783,10348,4218,7868
"610",2017,35,0,0,107,352
"611",2017,36,1142,3692,2295,13400
"612",2017,37,338,422,749,4186
"613",2017,38,0,0,13,71
"614",2017,39,86,872,1191,1008
"615",2017,40,0,65,0,948
"616",2017,41,405,295,260,945
"617",2017,42,581,1345,3094,4020
"618",2017,44,278,366,301,271
"619",2017,45,0,912,248,797
"620",2017,47,164,0,679,606
"621",2017,48,441,1984,1894,10160
"622",2017,49,0,506,2870,1156
"623",2017,50,0,0,0,175
"624",2017,51,82,1098,982,2185
"625",2017,53,0,1220,1620,3372
"626",2017,54,0,0,16,0
"627",2017,55,0,96,634,403
"628",2017,56,0,0,0,56
"629",2018,1,0,94,1007,555
"630",2018,2,0,153,187,0
"631",2018,4,328,414,762,1171
"632",2018,5,0,400,0,775
"633",2018,6,1304,3492,10851,23697
"634",2018,8,0,279,168,1506
"635",2018,9,971,7012,4722,4153
"636",2018,10,0,404,119,118
"637",2018,11,0,78,0,1084
"638",2018,12,3918,21496,19037,41796
"639",2018,13,502,3478,2758,5397
"640",2018,15,0,0,446,196
"641",2018,16,46,370,125,0
"642",2018,17,128,339,1262,3287
"643",2018,18,0,55,411,1040
"644",2018,19,0,0,0,584
"645",2018,20,0,0,162,755
"646",2018,21,158,134,65,438
"647",2018,22,0,1510,818,556
"648",2018,24,498,2126,2060,3661
"649",2018,25,4715,32477,14336,15195
"650",2018,26,91,229,594,3189
"651",2018,27,0,0,465,1616
"652",2018,28,0,296,273,284
"653",2018,29,0,93,376,1331
"654",2018,30,0,150,0,0
"655",2018,31,0,0,876,692
"656",2018,32,54,728,608,1476
"657",2018,33,102,658,457,169
"658",2018,34,2734,11398,6964,9645
"659",2018,35,75,0,84,513
"660",2018,36,2267,5522,3468,13400
"661",2018,37,302,1235,691,3356
